filename,class
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_23039.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_17016.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_20778.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_28219.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_24368.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_14392.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_03986.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_05034.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_11180.png,yes
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_03126.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_11704.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_21068.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_25109.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_28249.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_15025.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_26758.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_07155.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_22479.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_12673.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_26914.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_26326.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_01710.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_27516.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_27925.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_16901.png,yes
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_16740.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_23857.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_09156.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_23062.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_25621.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_18272.png,yes
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_20838.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_14143.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_01022.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_08413.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_16327.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_18972.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_19385.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_00245.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_26872.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_00990.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_06743.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_27944.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_17274.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_17654.png,yes
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_24725.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_09383.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_04052.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_15391.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_03787.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_21233.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_23379.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_05329.png,yes
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_05875.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_10465.png,yes
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_15033.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_04387.png,yes
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_26145.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_17051.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_14583.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_24804.png,yes
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_13128.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_15059.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_07163.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_27230.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_27095.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_23370.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_16981.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_13542.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_12658.png,yes
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_25483.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_21491.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_15139.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_22227.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_26901.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_01552.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_03192.png,yes
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_14995.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_23806.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_12689.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_24204.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_01657.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_18520.png,yes
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_23833.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_27599.png,yes
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_21847.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_04698.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_14611.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_12956.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_09056.png,yes
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_21024.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_12732.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_17739.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_28195.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_06421.png,yes
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_07349.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_19035.png,yes
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_11765.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_26462.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_26755.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_07597.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_19376.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_22484.png,yes
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_08463.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_21785.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_15346.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_10071.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_19683.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_13868.png,yes
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_03359.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_06773.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_16444.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_00235.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_26768.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_19673.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_04049.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_12017.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_05248.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_00524.png,yes
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_13995.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_23436.png,no
